Scrape_Date,Source_Name,Source_URL,Source_Language_Code,Source_Region,Original_Headline,Translated_Headline,Polarity,Sentiment_Label,Entities_Raw
2026_09_25,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,Cómo la turística Santa Marta se convirtió en la primera prueba de fuego de la lucha de De la Espriella contra los grupos armados en Colombia,Cómo la turística Santa Marta se convirtió en la primera prueba de fuego de la lucha de De la Espriella contra los grupos armados en Colombia,0.0,neutral,"[('Santa Marta', 'GPE'), ('primera prueba de fuego de la lucha de De la Espriella contra los grupos', 'ORG'), ('Colombia', 'GPE')]"
2026_09_25,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,"Valentina Agudelo, la colombiana que creó un innovador dispositivo que identifica el riesgo de cáncer de mama en minutos y en cualquier parte","Valentina Agudelo, la colombiana que creó un innovador dispositivo que identifica el riesgo de cáncer de mama en minutos y en cualquier parte",0.0,neutral,"[('Valentina Agudelo', 'PERSON'), ('la colombiana', 'ORG'), ('creó', 'ORG'), ('un', 'ORG'), ('el riesgo de cáncer de mama', 'ORG')]"
2026_09_25,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,Por qué la amenaza de la guerra puede salvar a los grandes fabricantes europeos de automóviles,Por qué la amenaza de la guerra puede salvar a los grandes fabricantes europeos de automóviles,0.0,neutral,[]
2026_09_25,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,Cómo Australia se ha convertido en el país que lidera la cruzada contra las grandes tecnológicas,Cómo Australia se ha convertido en el país que lidera la cruzada contra las grandes tecnológicas,0.0,neutral,"[('Australia', 'GPE'), ('el país', 'ORG'), ('las', 'GPE')]"
2026_09_25,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,"""No sabía que mi pareja me violaba mientras dormía""","""No sabía que mi pareja me violaba mientras dormía""",0.0,neutral,[]
2026_09_25,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,"Qué es y cómo opera Urbagestión, la empresa detrás del desalojo de la anciana Maricarmen a los 87 años en Madrid","Qué es y cómo opera Urbagestión, la empresa detrás del desalojo de la anciana Maricarmen a los 87 años en Madrid",0.0,neutral,"[('Qué', 'PERSON'), ('Urbagestión', 'GPE'), ('87', 'CARDINAL'), ('Madrid', 'GPE')]"
2026_09_25,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,Cómo la hermética comunidad Amish combate el brote de sarampión más mortal de la historia reciente en EE.UU.,Cómo la hermética comunidad Amish combate el brote de sarampión más mortal de la historia reciente en EE.UU.,0.0,neutral,"[('Amish', 'NORP'), ('el brote de sarampión más mortal de la', 'ORG')]"
2026_09_25,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,En video: decenas de delegados abandonan la Asamblea General de la ONU durante la intervención de Netanyahu,En video: decenas de delegados abandonan la Asamblea General de la ONU durante la intervención de Netanyahu,0.0,neutral,"[('decenas de delegados', 'PERSON'), ('abandonan la', 'PERSON'), ('Asamblea General de la ONU', 'ORG'), ('la intervención de Netanyahu', 'PERSON')]"
2026_09_25,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,¿Por qué cada vez hablamos menos?,¿Por qué cada vez hablamos menos?,0.0,neutral,"[('vez hablamos', 'PERSON')]"
2026_09_25,BBC Mundo,https://www.bbc.com/mundo,es,Latin America,Cómo la nueva derecha que gobierna en América Latina muestra su alineamiento pleno con Trump ante los ojos del mundo,Cómo la nueva derecha que gobierna en América Latina muestra su alineamiento pleno con Trump ante los ojos del mundo,0.0,neutral,"[('América Latina', 'PERSON'), ('pleno', 'GPE'), ('Trump', 'ORG'), ('los ojos', 'GPE')]"
