Source_Name,Original_Headline,Translated_Headline,Polarity,Scrape_Date
BBC Mundo,El caso de los 3 estadounidenses que denunciaron torturas en Venezuela y por el que el gobierno de Trump pidió inmunidad para Delcy Rodríguez,El caso de los 3 estadounidenses que denunciaron torturas en Venezuela y por el que el gobierno de Trump pidió inmunidad para Delcy Rodríguez,0.0,2026_09_17
BBC Mundo,Las imágenes que revelan la destrucción causada por Irán en instalaciones militares de EE.UU.,Las imágenes que revelan la destrucción causada por Irán en instalaciones militares de EE.UU.,0.0,2026_09_17
BBC Mundo,"Quiénes son los hutíes, los rebeldes aliados de Irán en Yemen que tienen en vilo al mercado mundial de petróleo","Quiénes son los hutíes, los rebeldes aliados de Irán en Yemen que tienen en vilo al mercado mundial de petróleo",0.0,2026_09_17
BBC Mundo,La mujer que encontró a su donante de riñón tras una súplica en Facebook,La mujer que encontró a su donante de riñón tras una súplica en Facebook,0.0,2026_09_17
BBC Mundo,Cómo la secundaria se presta para estereotipos que nos marcan hasta cuando somos adultos,Cómo la secundaria se presta para estereotipos que nos marcan hasta cuando somos adultos,0.0,2026_09_17
BBC Mundo,"4 muertes en 7 meses: la indignación por los crímenes contra mujeres en la Universidad de Morelos, en la que estudiaba la joven española asesinada","4 muertes en 7 meses: la indignación por los crímenes contra mujeres en la Universidad de Morelos, en la que estudiaba la joven española asesinada",0.0,2026_09_17
BBC Mundo,10 casas diseñadas para mezclarse con la naturaleza que las rodea,10 casas diseñadas para mezclarse con la naturaleza que las rodea,0.0,2026_09_17
BBC Mundo,"El hermano de Diana de Gales asegura que Carlos III le dijo que se ""olvidaría pronto"" a la princesa poco después de su muerte","El hermano de Diana de Gales asegura que Carlos III le dijo que se ""olvidaría pronto"" a la princesa poco después de su muerte",0.0,2026_09_17
BBC Mundo,"Cómo cultivar la imagen del ""chico bueno"" de la música llevó a Ed Sheeran a atravesar la peor crisis de su carrera","Cómo cultivar la imagen del ""chico bueno"" de la música llevó a Ed Sheeran a atravesar la peor crisis de su carrera",-1.0,2026_09_17
BBC Mundo,Por qué Florida es el estado que más condenados a muerte ejecuta en EE.UU.,Por qué Florida es el estado que más condenados a muerte ejecuta en EE.UU.,0.0,2026_09_17
BBC Hindi,नेपाल में हुई तबाही के पीछे क्या थी असली वजह? इस स्टडी से चला पता,नेपाल में हुई तबाही के पीछे क्या थी असली वजह? इस स्टडी से चला पता,0.0,2026_09_17
BBC Hindi,"लाइव,नेपाल के आर्मी चीफ़ अशोक राज सिग्देल चीन के दौरे पर, रक्षा मंत्री से की मुलाक़ात","लाइव,नेपाल के आर्मी चीफ़ अशोक राज सिग्देल चीन के दौरे पर, रक्षा मंत्री से की मुलाक़ात",0.0,2026_09_17
BBC Hindi,"ईरान के हमलों से अमेरिकी अड्डे हुए तबाह, सामने आईं तस्वीरों से और क्या पता चला","ईरान के हमलों से अमेरिकी अड्डे हुए तबाह, सामने आईं तस्वीरों से और क्या पता चला",0.0,2026_09_17
BBC Hindi,"राजस्थान: तानों से स्टारडम तक, कौन हैं चूरू के 12 साल के 'एलियन स्टार'","राजस्थान: तानों से स्टारडम तक, कौन हैं चूरू के 12 साल के 'एलियन स्टार'",0.0,2026_09_17
BBC Hindi,पीएम मोदी की सरकार आख़िर यूपीआई पेमेंट पर चार्ज क्यों लगा रही है?,पीएम मोदी की सरकार आख़िर यूपीआई पेमेंट पर चार्ज क्यों लगा रही है?,0.0,2026_09_17
BBC Hindi,जिन्होंने एआई बनाया क्या अब वो उनके क़ाबू से भी बाहर हो जाएगा?,जिन्होंने एआई बनाया क्या अब वो उनके क़ाबू से भी बाहर हो जाएगा?,0.0,2026_09_17
BBC Hindi,"वीडियो,पाकिस्तान में महिलाएं जब बाइक चलाती हैं, तो क्या झेलती हैं?, अवधि 4,45","वीडियो,पाकिस्तान में महिलाएं जब बाइक चलाती हैं, तो क्या झेलती हैं?, अवधि 4,45",0.0,2026_09_17
BBC Hindi,ब्रिक्स समिट में भारत न आकर बांग्लादेश ने क्या अपना ही नुक़सान कर लिया?,ब्रिक्स समिट में भारत न आकर बांग्लादेश ने क्या अपना ही नुक़सान कर लिया?,0.0,2026_09_17
BBC Hindi,"3 जंगली कुत्ते, 8 महीने और 4,000 किलोमीटर लंबा सफ़र","3 जंगली कुत्ते, 8 महीने और 4,000 किलोमीटर लंबा सफ़र",0.0,2026_09_17
BBC Hindi,"'अस्सलामु अलैकुम' और 'इंशाअल्लाह' कहने पर महिला अधिकारी के ट्रांसफ़र का आरोप, क्या है पूरा मामला","'अस्सलामु अलैकुम' और 'इंशाअल्लाह' कहने पर महिला अधिकारी के ट्रांसफ़र का आरोप, क्या है पूरा मामला",0.0,2026_09_17
BBC Portuguese,Lula x Flávio Bolsonaro: 5 fatores que podem definir eventual segundo turno,Lula x Flávio Bolsonaro: 5 fatores que podem definir eventual segundo turno,0.0,2026_09_17
BBC Portuguese,Canadá na União Europeia? O plano de tornar país associado ao bloco,Canadá na União Europeia? O plano de tornar país associado ao bloco,0.0,2026_09_17
BBC Portuguese,Por que o Brasil sempre abre a Assembleia Geral da ONU,Por que o Brasil sempre abre a Assembleia Geral da ONU,0.0,2026_09_17
BBC Portuguese,O livro que acusa o rei Charles de palavras 'insensíveis' após morte de Diana e que causa crise no palácio de Buckingham,O livro que acusa o rei Charles de palavras 'insensíveis' após morte de Diana e que causa crise no palácio de Buckingham,0.0,2026_09_17
BBC Portuguese,'Descobri que tinha uma doença rara depois de um match no Tinder','Descobri que tinha uma doença rara depois de um match no Tinder',0.0,2026_09_17
