Source_Name,Entity,Label
BBC Spanish,Putin,PERSON
BBC Spanish,Russian,NORP
BBC Spanish,million-dollar,MONEY
BBC Spanish,Mexico,GPE
BBC Spanish,13,CARDINAL
BBC Spanish,almost 100,CARDINAL
BBC Spanish,2 years,DATE
BBC Spanish,Nazis,NORP
BBC Spanish,Brigitte Bardot,PERSON
BBC Spanish,91,CARDINAL
BBC Hindi,Supreme Court,ORG
BBC Hindi,Aravali,NORP
BBC Hindi,Lalit Modi,PERSON
BBC Hindi,the Government of India,ORG
BBC Hindi,the Supreme Court,ORG
BBC Hindi,Delhi High Court,ORG
BBC Hindi,Christianity,NORP
BBC Hindi,three days,DATE
BBC Hindi,Russia,GPE
BBC Hindi,Putin,PERSON
BBC Hindi,India,GPE
BBC Hindi,Osman Hadi,PERSON
BBC Hindi,Dipu Chandra Das,PERSON
BBC Hindi,Two,CARDINAL
BBC Hindi,Maharashtra,ORG
BBC Hindi,Rajasthan,GPE
BBC Hindi,Manu,PERSON
BBC Portuguese,Trump,PERSON
BBC Portuguese,Bolsonaro,PERSON
BBC Portuguese,US,GPE
BBC Portuguese,Trump,PERSON
BBC Portuguese,Zelensky,PERSON
BBC Portuguese,Putin,PERSON
BBC Portuguese,Russian,NORP
BBC Portuguese,Trump,ORG
BBC Portuguese,Latin America,LOC
BBC Portuguese,Chinese,NORP
BBC Portuguese,millions,CARDINAL
BBC Portuguese,7,CARDINAL
BBC Portuguese,2025,DATE
BBC Portuguese,Brigitte Bardot,PERSON
BBC Portuguese,French,NORP
BBC Portuguese,the 1950s,DATE
BBC Portuguese,Sicilian,NORP
BBC Russian,Donbass,PERSON
BBC Russian,Donald Trump,PERSON
BBC Russian,Vladimir Zelensky,PERSON
BBC Russian,Florida,GPE
BBC Russian,War,GPE
BBC Russian,Ukraine,GPE
BBC Russian,Zelensky,PERSON
BBC Russian,Trump,ORG
BBC Russian,Florida,GPE
BBC Russian,Kosovo,GPE
BBC Russian,Iran,GPE
BBC Russian,a year,DATE
BBC Russian,Brigitte Bardot,PERSON
BBC Russian,Three,CARDINAL
BBC Russian,Sweden,GPE
BBC Russian,Northern Europe,LOC
BBC Russian,anti-Semitism,NORP
BBC Russian,Israel,GPE
BBC Russian,Britain,GPE
BBC Russian,Jews,NORP
BBC Russian,60 years,DATE
BBC Russian,Brigitte Bardot,PERSON
BBC Japanese,Trump,ORG
BBC Japanese,Zelensky,PERSON
BBC Japanese,Myanmar,GPE
BBC Japanese,first,ORDINAL
BBC Japanese,five years,DATE
BBC Japanese,Brigitte Bardot,PERSON
BBC Japanese,French,NORP
BBC Japanese,the age of 91,DATE
BBC Japanese,Thailand,GPE
BBC Japanese,Cambodia,GPE
BBC Japanese,weeks,DATE
BBC Japanese,New Year's,EVENT
BBC Japanese,Israel,GPE
BBC Japanese,Somaliland,PRODUCT
BBC Japanese,first,ORDINAL
BBC Japanese,Somalia,GPE
BBC Japanese,Syrian,NORP
BBC Japanese,Friday,DATE
BBC Japanese,at least 8,CARDINAL
BBC Japanese,Two,CARDINAL
BBC Japanese,Israel,GPE
BBC Japanese,Palestinians,NORP
BBC Japanese,Trump,ORG
BBC Japanese,Florida,GPE
BBC Swahili,Trump,ORG
BBC Swahili,Ukraine,GPE
BBC Swahili,Somaliland,PRODUCT
BBC Swahili,Israel,GPE
BBC Swahili,2026,DATE
BBC Swahili,Putin,PERSON
BBC Swahili,Russia,GPE
BBC Swahili,European Football Rumors,ORG
BBC Swahili,Monday,DATE
BBC Swahili,Semenyo,PERSON
BBC Swahili,Liverpool,GPE
BBC Swahili,Manchester City,GPE
BBC Swahili,second,ORDINAL
BBC Swahili,Gaza,GPE
BBC Swahili,The United States,GPE
BBC Swahili,Nigeria,GPE
BBC Swahili,Jesus,PERSON
