Source_Name,Entity,Label
BBC Spanish,Wallace,PERSON
BBC Spanish,one,CARDINAL
BBC Spanish,Mexico,GPE
BBC Spanish,At least 4,CARDINAL
BBC Spanish,Mormon,NORP
BBC Spanish,Michigan,GPE
BBC Spanish,Bad Bunny,PERSON
BBC Spanish,the Super Bowl,EVENT
BBC Spanish,February,DATE
BBC Spanish,Saudi Arabia,GPE
BBC Spanish,50 years ago,DATE
BBC Hindi,Chris Woakes,PERSON
BBC Hindi,America,GPE
BBC Hindi,Pakistan,GPE
BBC Hindi,India,GPE
BBC Hindi,Pakistani,NORP
BBC Hindi,DRG,ORG
BBC Hindi,Maoists,NORP
BBC Portuguese,Miguel,PERSON
BBC Portuguese,Rafael,PERSON
BBC Portuguese,Gabriel,PERSON
BBC Portuguese,three,CARDINAL
BBC Portuguese,Brazil,GPE
BBC Portuguese,microplastics,ORDINAL
BBC Portuguese,4,CARDINAL
BBC Portuguese,Mormon Church,ORG
BBC Portuguese,USA,GPE
BBC Russian,Kremlin,ORG
BBC Russian,Russian,NORP
BBC Russian,Trump,ORG
BBC Russian,Netanyahu,PERSON
BBC Russian,Ukraine,GPE
BBC Russian,Kremlin,ORG
BBC Russian,Tomahawk,PRODUCT
BBC Russian,Ukraine,GPE
BBC Russian,Syresky,PERSON
BBC Russian,Ukraine,GPE
BBC Russian,BBC,ORG
BBC Japanese,Singapore,GPE
BBC Japanese,Hong Kong's,GPE
BBC Japanese,democratic,NORP
BBC Japanese,Japan,GPE
BBC Japanese,At least four,CARDINAL
BBC Japanese,Mormon Church,ORG
BBC Japanese,Michigan,GPE
BBC Japanese,BBC,ORG
BBC Japanese,Kiu,ORG
BBC Japanese,Russia,GPE
BBC Japanese,"2,34",CARDINAL
BBC Japanese,Oregon,GPE
BBC Japanese,US,GPE
BBC Japanese,Trump,ORG
BBC Japanese,Zelensky,PERSON
BBC Japanese,Russia,GPE
BBC Japanese,12-hour,TIME
