Scrape_Date,Source_URL,Source_Language_Code,Original_Headline,Translated_Headline,Polarity,Sentiment_Label,Entities_Raw
2026_05_22,https://www.bbc.com/mundo,es,El desafío de Irán a EE.UU. al aumentar el área del estrecho de Ormuz sobre la que reclama control militar,Iran's challenge to the US by increasing the area of ​​the Strait of Hormuz over which it claims military control,0.0,neutral,"[('Iran', 'GPE'), ('US', 'GPE'), ('\u200b\u200bthe Strait of', 'LOC'), ('Hormuz', 'PERSON')]"
2026_05_22,https://www.bbc.com/mundo,es,"El trágico caso de Yulixa Toloza, la mujer que apareció muerta en una cuneta después de someterse a un procedimiento estético en Colombia","The tragic case of Yulixa Toloza, the woman who was found dead in a ditch after undergoing a cosmetic procedure in Colombia",0.0,neutral,"[('Yulixa Toloza', 'ORG'), ('Colombia', 'GPE')]"
2026_05_22,https://www.bbc.com/mundo,es,Marco Rubio afirma que Cuba es una amenaza para EE.UU. y ve poco probable un acuerdo diplomático,Marco Rubio affirms that Cuba is a threat to the US and sees a diplomatic agreement unlikely,0.0,neutral,"[('Marco Rubio', 'PERSON'), ('Cuba', 'GPE'), ('US', 'GPE')]"
2026_05_22,https://www.bbc.com/mundo,es,"El esperanzador ensayo pionero sobre la preeclampsia, la complicación del embarazo que mata a medio millón de bebés al año","The hopeful pioneering trial on preeclampsia, the pregnancy complication that kills half a million babies a year",0.0,neutral,"[('preeclampsia', 'GPE'), ('half a million', 'CARDINAL')]"
2026_05_22,https://www.bbc.com/mundo,es,"La historia de amor de las dos jóvenes que iban a ser monjas y acabaron casándose: ""Dios fue nuestro Cupido""","The love story of the two young women who were going to be nuns and ended up getting married: ""God was our Cupid""",0.0,neutral,"[('two', 'CARDINAL'), ('Cupid', 'ORG')]"
2026_05_22,https://www.bbc.com/mundo,es,"Por qué México importa más del 50% de la gasolina que consume, pese a ser uno de los mayores productores de petróleo de América Latina","Why Mexico imports more than 50% of the gasoline it consumes, despite being one of the largest oil producers in Latin America",0.0,neutral,"[('Mexico', 'GPE'), ('more than 50%', 'PERCENT'), ('Latin America', 'LOC')]"
2026_05_22,https://www.bbc.com/mundo,es,"""EE.UU. se beneficia de la estabilidad en América Latina, que se produce mediante el desarrollo y las clases medias. Debería promover eso en lugar de intervenciones""","""The US benefits from stability in Latin America, which comes through development and the middle classes. It should promote that instead of interventions""",0.0,neutral,"[('US', 'GPE'), ('Latin America', 'LOC')]"
2026_05_22,https://www.bbc.com/mundo,es,¿Qué significa que Rusia haya desplegado sus fuerzas nucleares estratégicas en sus mayores ejercicios militares hasta la fecha?,What does it mean that Russia has deployed its strategic nuclear forces in its largest military exercises to date?,0.0,neutral,"[('Russia', 'GPE')]"
2026_05_22,https://www.bbc.com/mundo,es,3 formas en que podría evolucionar la crisis en Cuba tras la acusación penal de EE.UU. contra Raúl Castro,3 ways the crisis in Cuba could evolve after the US criminal indictment against Raúl Castro,-1.0,negative,"[('3', 'CARDINAL'), ('Cuba', 'GPE'), ('US', 'GPE'), ('Raúl Castro', 'PERSON')]"
2026_05_22,https://www.bbc.com/mundo,es,Air France y Airbus son declaradas culpables de homicidio involuntario por el accidente aéreo más letal de Francia ocurrido en 2009,Air France and Airbus found guilty of involuntary manslaughter for France's deadliest plane crash in 2009,0.0,neutral,"[('Air France', 'ORG'), ('Airbus', 'ORG'), ('France', 'GPE'), ('2009', 'DATE')]"
2026_05_22,https://www.bbc.com/hindi,hi,"जेल से भागकर मुंबई में एक्टर बन गया गुजरात का एक हत्यारा, 12 साल बाद ऐसे पकड़ा गया","A murderer from Gujarat escaped from jail and became an actor in Mumbai, caught like this after 12 years",0.0,neutral,"[('Gujarat', 'GPE'), ('Mumbai', 'GPE'), ('12 years', 'DATE')]"
2026_05_22,https://www.bbc.com/hindi,hi,"लाइव,त्विषा शर्मा केसः दूसरा पोस्टमार्टम दिल्ली एम्स के डॉक्टरों से कराने का आदेश","Live, Tvisha Sharma case: Order to conduct second post-mortem from Delhi AIIMS doctors",0.0,neutral,"[('Tvisha Sharma', 'PERSON'), ('second', 'ORDINAL'), ('Delhi', 'GPE')]"
2026_05_22,https://www.bbc.com/hindi,hi,"कॉकरोच जनता पार्टी की चर्चा विदेशी मीडिया में भी, जानिए इसे वहाँ कैसे देखा जा रहा है?","Cockroach Janata Party is being discussed in foreign media also, know how it is being seen there?",0.0,neutral,"[('Cockroach Janata Party', 'ORG')]"
2026_05_22,https://www.bbc.com/hindi,hi,ईरान: बच्चे की देखभाल करती महिला की इस तस्वीर पर क्यों छिड़ा विवाद,Iran: Why controversy erupted over this picture of a woman taking care of a child?,0.0,neutral,"[('Iran', 'GPE')]"
2026_05_22,https://www.bbc.com/hindi,hi,हरदोई में शादी से इनकार करने पर युवक ने युवती के ब्रेस्ट को नुक़सान पहुंचाया,"In Hardoi, a young man damaged a girl's breast after refusing to marry her.",0.0,neutral,"[('Hardoi', 'ORG')]"
2026_05_22,https://www.bbc.com/hindi,hi,त्विषा शर्मा केस: मध्य प्रदेश सरकार ने सीबीआई जांच की सिफ़ारिश की,Tvisha Sharma case: Madhya Pradesh government recommends CBI investigation,0.0,neutral,"[('Tvisha Sharma', 'PERSON'), ('Madhya Pradesh', 'ORG'), ('CBI', 'ORG')]"
2026_05_22,https://www.bbc.com/hindi,hi,'कॉकरोच से छुटकारा नहीं मिलेगा': 'सीजेपी इज़ बैक' पर क्या कह रहे हैं लोग,'Can't get rid of cockroaches': What people are saying on 'CJP is back',0.0,neutral,"[('CJP', 'ORG')]"
2026_05_22,https://www.bbc.com/hindi,hi,'कॉकरोच जनता पार्टी का जन्म तो मीम से हुआ लेकिन ये गंभीर बदलाव की शुरुआत हो सकती है ': योगेंद्र यादव,'Cockroach Janata Party was born from a meme but this can be the beginning of serious change': Yogendra Yadav,0.0,neutral,"[('Cockroach Janata Party', 'ORG'), ('Yogendra Yadav', 'PERSON')]"
2026_05_22,https://www.bbc.com/hindi,hi,"बस पांच मिनट की कसरत से लंबा जीना संभव, जानिए क्या है एक्सरसाइज़ स्नैकिंग","It is possible to live longer with just five minutes of exercise, know what exercise snacking is",0.0,neutral,"[('just five minutes', 'TIME')]"
