Source_Name,Entity,Label,Scrape_Date
BBC Mundo,Peru,GPE,2026_06_08
BBC Mundo,Keiko Fujimori,PERSON,2026_06_08
BBC Mundo,Roberto Sánchez,PERSON,2026_06_08
BBC Mundo,Kim Jong-un,PERSON,2026_06_08
BBC Mundo,China,GPE,2026_06_08
BBC Mundo,North Korea,GPE,2026_06_08
BBC Mundo,Trump,ORG,2026_06_08
BBC Mundo,Israel,GPE,2026_06_08
BBC Mundo,Iran,GPE,2026_06_08
BBC Mundo,first,ORDINAL,2026_06_08
BBC Mundo,April,DATE,2026_06_08
BBC Mundo,World Cup,EVENT,2026_06_08
BBC Mundo,Mexico,GPE,2026_06_08
BBC Mundo,USA,GPE,2026_06_08
BBC Mundo,Canada,GPE,2026_06_08
BBC Mundo,The World Cup,EVENT,2026_06_08
BBC Mundo,US,GPE,2026_06_08
BBC Mundo,Dozens,CARDINAL,2026_06_08
BBC Mundo,7.8,CARDINAL,2026_06_08
BBC Mundo,Philippines,GPE,2026_06_08
BBC Mundo,Bishkek,ORG,2026_06_08
BBC Mundo,Kyrgyzstan,GPE,2026_06_08
BBC Mundo,Soviet,NORP,2026_06_08
BBC Mundo,The Young Ladies of Avignon,WORK_OF_ART,2026_06_08
BBC Mundo,Picasso,PERSON,2026_06_08
BBC Mundo,a century later,DATE,2026_06_08
BBC Mundo,Peru,GPE,2026_06_08
BBC Mundo,Roberto Sánchez,PERSON,2026_06_08
BBC Mundo,Keiko Fujimori,PERSON,2026_06_08
BBC Mundo,Peru,GPE,2026_06_08
BBC Hindi,General Naravane,ORG,2026_06_08
BBC Hindi,China,GPE,2026_06_08
BBC Hindi,India,GPE,2026_06_08
BBC Hindi,Tejashwi Yadav,PERSON,2026_06_08
BBC Hindi,India,GPE,2026_06_08
BBC Hindi,Abhijeet Deepke,PERSON,2026_06_08
BBC Hindi,Cockroach Janata Party',ORG,2026_06_08
BBC Hindi,Iranian,NORP,2026_06_08
BBC Hindi,Israel,GPE,2026_06_08
BBC Hindi,Vaibhav Suryavanshi,PERSON,2026_06_08
BBC Hindi,10-20 years',DATE,2026_06_08
