Scrape_Date,Source_URL,Source_Language_Code,Original_Headline,Translated_Headline,Polarity,Entities_Raw
2025_12_01,https://www.bbc.com/mundo,es,"Los resultados preliminares de las presidenciales en Honduras muestran una ajustada contienda entre el conservador Asfura, apoyado por Trump, y el centrista Nasralla","The preliminary results of the presidential elections in Honduras show a tight contest between the conservative Asfura, supported by Trump, and the centrist Nasralla",-0.17857142857142858,"[('Honduras', 'GPE'), ('Asfura', 'GPE'), ('Trump', 'ORG'), ('Nasralla', 'PERSON')]"
2025_12_01,https://www.bbc.com/mundo,es,Cuál es el estado de los vuelos en Venezuela tras los anuncios de Trump y su gobierno sobre el cierre del espacio aéreo del país caribeño,What is the status of flights in Venezuela after the announcements by Trump and his government about the closure of the Caribbean country's airspace?,0.0,"[('Venezuela', 'GPE'), ('Trump', 'ORG'), ('Caribbean', 'LOC')]"
2025_12_01,https://www.bbc.com/mundo,es,"En qué países de América Latina ha estado presente Lev Tahor, la secta ultraortodoxa judía acusada de abuso infantil y recientemente detectada en Colombia","In which Latin American countries has Lev Tahor, the ultra-Orthodox Jewish sect accused of child abuse and recently detected in Colombia, been present?",0.0,"[('Latin American', 'NORP'), ('Lev Tahor', 'PERSON'), ('ultra-Orthodox', 'NORP'), ('Jewish', 'NORP'), ('Colombia', 'GPE')]"
2025_12_01,https://www.bbc.com/mundo,es,"""Es como viajar al fin de la civilización"": una aventura por la desafiante Carretera Austral de Chile","""It's like traveling to the end of civilization"": an adventure along Chile's challenging Carretera Austral",0.5,"[('Chile', 'GPE'), ('Carretera Austral', 'PRODUCT')]"
2025_12_01,https://www.bbc.com/mundo,es,Qué son las ingeniosas cajas de Ward y cómo transformaron la economía mundial,What are Ward's ingenious boxes and how did they transform the world economy?,0.5,"[('Ward', 'ORG')]"
2025_12_01,https://www.bbc.com/hindi,hi,नीट में कामयाबी ना मिले तो मेडिकल के ये कोर्स बन सकते हैं 'प्लान बी',"If you do not get success in NEET, these medical courses can become 'Plan B'",0.15,"[('NEET', 'ORG')]"
2025_12_01,https://www.bbc.com/hindi,hi,"लाइव,यूक्रेन जंग ख़त्म करने को लेकर चल रही वार्ता के बारे में मार्को रूबियो ने क्या बताया","Live, what Marco Rubio told about the ongoing talks to end the Ukraine war",0.13636363636363635,"[('Marco Rubio', 'PERSON'), ('Ukraine', 'GPE')]"
2025_12_01,https://www.bbc.com/hindi,hi,विराट कोहली ने शतक ठोंककर एक साथ कितने सवालों के जवाब दे दिए,How many questions did Virat Kohli answer at once by scoring a century?,0.5,"[('Virat Kohli', 'ORG'), ('a century', 'DATE')]"
2025_12_01,https://www.bbc.com/hindi,hi,"संसद का शीतकालीन सत्र: लोकसभा में एसआईआर पर फिर हंगामा, दोपहर 2 बजे तक कार्यवाही स्थगित","Winter session of Parliament: Uproar again over SIR in Lok Sabha, proceedings adjourned till 2 pm",0.0,"[('Winter', 'TIME'), ('Parliament', 'ORG'), ('SIR', 'ORG'), ('Lok Sabha', 'PERSON'), ('2 pm', 'TIME')]"
2025_12_01,https://www.bbc.com/hindi,hi,"भारत में कैसे मिला था एड्स का पहला मामला, राजीव गांधी को दी गई थी जानकारी","How the first case of AIDS was found in India, information was given to Rajiv Gandhi",0.25,"[('first', 'ORDINAL'), ('India', 'GPE'), ('Rajiv Gandhi', 'PERSON')]"
2025_12_01,https://www.bbc.com/hindi,hi,"नेतन्याहू ने राष्ट्रपति को पत्र लिखकर क्यों लगाई माफ़ी की गुहार, उनके ख़िलाफ़ क्या हैं आरोप?","Why did Netanyahu write a letter to the President asking for pardon, what are the allegations against him?",0.0,"[('Netanyahu', 'PERSON')]"
2025_12_01,https://www.bbc.com/hindi,hi,वॉशिंगटन में नेशनल गार्ड्स पर हमलाः पूर्व बाइडन सरकार की नीति पर क्यों उठ रहे सवाल,Attack on National Guards in Washington: Why questions are being raised on the policy of the former Biden government,0.0,"[('National Guards', 'ORG'), ('Washington', 'GPE'), ('Biden', 'PERSON')]"
