Source_Name,Original_Headline,Translated_Headline,Polarity
BBC Spanish,"""EE.UU. está lleno"": cómo Trump está limitando las vías de migración legal mientras continúa su ofensiva contra los indocumentados","""The US is full"": how Trump is limiting legal migration routes while his offensive against the undocumented",0.275
BBC Spanish,Por qué cerró el gobierno de EE.UU. y quiénes pueden ser los más afectados,Why the US government closed and who can be the most affected,0.2
BBC Spanish,"Cómo fue la captura en Perú de ""Pequeño J"", el joven sospechoso de ordenar el brutal asesinato de tres mujeres en Argentina","How was the capture in Peru of ""Little J"", the young man suspected of ordering the brutal murder of three women in Argentina",-0.3208333333333333
BBC Spanish,Cómo los cerdos y los insectos están ayudando a encontrar a los desaparecidos en México,How pigs and insects are helping to find the missing in Mexico,-0.2
BBC Spanish,"Colágeno: ¿se debe tomar, inyectar o aplicar en la piel? Y ¿realmente funciona?","Collagen: Should it be taken, injected or applied to the skin? And does it really work?",0.2
BBC Hindi,शटडाउन के बाद अमेरिका में क्या हो रहा है?,What is happening in America after shutdown?,0.0
BBC Hindi,"लाइव,अमेरिकी शांति प्रस्ताव के बीच ग़ज़ा में इसराइल के हमले जारी","Israel's attacks continue in Gaza amid live, US peace proposal",0.1363636363636363
BBC Hindi,"तिलक वर्मा की कहानी: पिता बनाना चाहते थे डॉक्टर, वो बन गए क्रिकेटर","Story of Tilak Verma: Doctor wanted to be a father, he became a cricketer",0.0
BBC Hindi,क़तर से माफ़ी मांगने के लिए नेतन्याहू की इसराइल में तीखी आलोचना,Netanyahu's sharp criticism in Israel for apologizing to Qatar,-0.125
BBC Hindi,"श्रीलंका के ख़िलाफ़ मैच विनर बनीं दीप्ति शर्मा, जिन्होंने वर्ल्ड कप के लिए छोड़े 43 लाख रुपए","Deepti Sharma became a match winner against Sri Lanka, who left 43 lakh rupees for the World Cup",0.0
BBC Hindi,"सिलेंडर के दाम से लेकर बैंक लोन तक, जानिए एक अक्तूबर से कौन-कौन से नियम बदल गए?","From the price of the cylinder to the bank loan, know which rules have changed from October 1?",0.0
BBC Hindi,"पोटैशियम की कमी से हो सकती है ये गंभीर बीमारी, खाने में इन चीज़ों को करें शामिल","Lack of potassium can cause this serious disease, involve these things in food",-0.3333333333333333
BBC Hindi,'आसिम मुनीर मुझसे बोले आपने बचाई लाखों ज़िंदगियां'- भारत पाकिस्तान संघर्ष पर ट्रंप ने और क्या कहा?,"'Asim Munir said to me, you saved millions of lives'- what else did Trump say on India Pakistan struggle?",0.0
BBC Hindi,"नेतन्याहू ने क़तर से मांगी माफ़ी, क्यों बदले उनके तेवर?","Netanyahu apologizes to Qatar, why change his attitude?",0.0
BBC Portuguese,Os conselhos de especialista para salvar intoxicados por metanol: 'É um assassino silencioso',The expert advice to save methanol intoxicated: 'It is a silent killer',0.0
BBC Portuguese,Como o metanol aparece na bebida alcóolica — e por que isso gera lucro para alguns,How methanol appears in alcohol - and why it generates profit for some,0.0
